l2,percep,p-norm,item
0.01736568845808506,0.27668625116348267,5283.8232421875,5284.1171875
0.015783166512846947,0.2500782012939453,5154.44970703125,5154.71533203125
0.014634376391768456,0.23231269419193268,5033.60546875,5033.8525390625
0.013715744018554688,0.2175704836845398,4920.46728515625,4920.69873046875
0.013018837198615074,0.21036343276500702,4815.0068359375,4815.22998046875
0.012569825164973736,0.2045167237520218,4717.236328125,4717.45361328125
0.012308463454246521,0.19858090579509735,4626.77685546875,4626.98779296875
0.011912189424037933,0.19233544170856476,4543.46044921875,4543.66455078125
0.011556368321180344,0.18678107857704163,4466.80224609375,4467.00048828125
0.011281397193670273,0.1820635348558426,4396.32373046875,4396.51708984375
0.010920899920165539,0.17848433554172516,4331.34033203125,4331.52978515625
0.010643772780895233,0.17453673481941223,4271.2119140625,4271.39697265625
0.010314044542610645,0.17196042835712433,4215.31201171875,4215.494140625
0.010152206756174564,0.167622908949852,4162.94873046875,4163.12646484375
0.009884974919259548,0.16478805243968964,4113.77490234375,4113.94970703125
0.009716469794511795,0.16093510389328003,4067.2841796875,4067.454833984375
0.009466912597417831,0.15681156516075134,4023.225830078125,4023.39208984375
0.009217283688485622,0.15482576191425323,3981.41552734375,3981.57958984375
0.009126484394073486,0.1528628170490265,3941.685546875,3941.84765625
0.00891912542283535,0.15108059346675873,3903.90771484375,3904.067626953125
0.008860351517796516,0.14954201877117157,3867.8388671875,3867.997314453125
0.00866340659558773,0.14589911699295044,3833.347412109375,3833.501953125
0.008475495502352715,0.14513225853443146,3800.499755859375,3800.6533203125
0.00832363311201334,0.1430741399526596,3769.218505859375,3769.369873046875
0.008256563916802406,0.14087969064712524,3739.409423828125,3739.55859375
0.008161718025803566,0.13918505609035492,3711.0390625,3711.1865234375
0.008032034151256084,0.1352987140417099,3684.015869140625,3684.1591796875
0.007888956926763058,0.13495369255542755,3658.176025390625,3658.31884765625
0.007847128435969353,0.13438789546489716,3633.4423828125,3633.584716796875
0.007792869117110968,0.13337142765522003,3609.73486328125,3609.8759765625
0.007619321346282959,0.1294359266757965,3586.990478515625,3587.12744140625
0.007549199741333723,0.13001267611980438,3565.150146484375,3565.28759765625
0.0074799638241529465,0.1289813220500946,3544.16552734375,3544.302001953125
0.007322398480027914,0.12609338760375977,3524.039306640625,3524.172607421875
0.007334414403885603,0.12394315004348755,3504.717529296875,3504.848876953125
0.0072528161108493805,0.1244094967842102,3486.18017578125,3486.311767578125
0.007198820821940899,0.12344599515199661,3468.42333984375,3468.553955078125
0.0071715498343110085,0.12282583862543106,3451.447509765625,3451.577392578125
0.007064558565616608,0.12144400179386139,3435.24853515625,3435.376953125
0.006892994046211243,0.12036469578742981,3419.8388671875,3419.966064453125
0.006861995439976454,0.12071342021226883,3405.2236328125,3405.351318359375
0.0068197171203792095,0.11791332811117172,3391.42822265625,3391.552978515625
0.0067235915921628475,0.11689774692058563,3378.4423828125,3378.56591796875
0.0065712956711649895,0.11632448434829712,3366.24755859375,3366.370361328125
0.006470982916653156,0.11573447287082672,3354.83544921875,3354.957763671875
0.006416085176169872,0.11525904387235641,3344.207275390625,3344.328857421875
0.006286976393312216,0.11363964527845383,3334.2890625,3334.408935546875
0.006279464811086655,0.1127600222826004,3325.048095703125,3325.167236328125
0.006211321800947189,0.11172578483819962,3316.448486328125,3316.56640625
0.006214433815330267,0.11094023287296295,3308.4482421875,3308.5654296875
0.006151687353849411,0.10975631326436996,3301.004150390625,3301.1201171875
0.00610706489533186,0.10939650237560272,3294.0712890625,3294.186767578125
0.0060541462153196335,0.10908017307519913,3287.609619140625,3287.724853515625
0.005946634337306023,0.10684617608785629,3281.58544921875,3281.6982421875
0.005951875355094671,0.10662364959716797,3275.961669921875,3276.07421875
0.005923199467360973,0.10615627467632294,3270.71728515625,3270.829345703125
0.005861503072082996,0.10469719022512436,3265.8408203125,3265.951416015625
0.0058808280155062675,0.1055355966091156,3261.3056640625,3261.4169921875
0.00575666269287467,0.10626233369112015,3257.095458984375,3257.20751953125
0.005751354619860649,0.10431205481290817,3253.1923828125,3253.302490234375
0.005678707733750343,0.10188020020723343,3249.576904296875,3249.6845703125
0.005614633671939373,0.10228279232978821,3246.23486328125,3246.3427734375
0.005490356590598822,0.10138727724552155,3243.150634765625,3243.257568359375
0.005509310867637396,0.10121302306652069,3240.3056640625,3240.412353515625
0.00545317679643631,0.09978265315294266,3237.68359375,3237.788818359375
0.0054212091490626335,0.09916780889034271,3235.267333984375,3235.371826171875
0.005383112467825413,0.09836222231388092,3233.03955078125,3233.143310546875
0.005311294458806515,0.09792312979698181,3230.985107421875,3231.08837890625
0.0053461045026779175,0.09830082952976227,3229.09130859375,3229.195068359375
0.005258491262793541,0.09784498810768127,3227.34716796875,3227.4501953125
0.005201408173888922,0.09671275317668915,3225.740478515625,3225.84228515625
0.005170581396669149,0.09715922921895981,3224.26123046875,3224.363525390625
0.005160517990589142,0.0959518775343895,3222.901123046875,3223.002197265625
0.005044118035584688,0.09552032500505447,3221.651611328125,3221.752197265625
0.005038104020059109,0.09458387643098831,3220.506103515625,3220.605712890625
0.00509624183177948,0.09613265097141266,3219.45556640625,3219.556884765625
0.005014588590711355,0.09389505535364151,3218.4931640625,3218.592041015625
0.005071868654340506,0.09526941180229187,3217.609375,3217.709716796875
0.00494305370375514,0.0948989987373352,3216.7978515625,3216.897705078125
0.004958747886121273,0.09265878796577454,3216.0498046875,3216.1474609375
0.0048860423266887665,0.09321065992116928,3215.361083984375,3215.459228515625
0.0049170320853590965,0.09269876033067703,3214.72314453125,3214.82080078125
